date,time,token,position,leverage
25/11/2024,16:10,BTC,SHORT,20
25/11/2024,16:10,ETH,SHORT,20
25/11/2024,16:10,ADA,LONG,20
25/11/2024,16:10,FTM,LONG,20
25/11/2024,16:10,TON,SHORT,10
25/11/2024,16:10,XRP,LONG,10
25/11/2024,19:10,BTC,LONG,20
25/11/2024,19:10,ADA,LONG,20
25/11/2024,19:10,DOGE,SHORT,20
25/11/2024,19:10,AVAX,LONG,10
25/11/2024,19:10,SUI,SHORT,10
25/11/2024,19:10,UNI,LONG,10
25/11/2024,22:10,TON,LONG,1
25/11/2024,22:10,STX,LONG,1
25/11/2024,22:10,UNI,LONG,102
25/11/2024,22:10,FTM,LONG,103
25/11/2024,22:10,ICP,LONG,104
25/11/2024,22:10,ETH,SHORT,105
26/11/2024,01:10,BTC,LONG,1
26/11/2024,01:10,ETH,LONG,1
26/11/2024,01:10,FTM,SHORT,202
26/11/2024,01:10,ADA,LONG,203
26/11/2024,01:10,UNI,SHORT,104
26/11/2024,01:10,TRX,LONG,155
26/11/2024,04:10,BTC,LONG,1
26/11/2024,04:10,ETH,LONG,1
26/11/2024,04:10,UNI,LONG,202
26/11/2024,04:10,ICP,LONG,203
26/11/2024,04:10,TON,SHORT,154
26/11/2024,04:10,TRX,SHORT,105
26/11/2024,07:10,GRT,LONG,1
26/11/2024,10:10,BTC,LONG,20
26/11/2024,10:10,ETH,LONG,20
26/11/2024,10:10,TRX,LONG,20
26/11/2024,10:10,TAO,LONG,20
26/11/2024,10:10,LTC,SHORT,10
26/11/2024,10:10,ADA,SHORT,10
26/11/2024,13:10,BTC,LONG,20
26/11/2024,13:10,ADA,LONG,20
26/11/2024,13:10,XRP,LONG,20
26/11/2024,13:10,GRT,LONG,10
26/11/2024,13:10,ICP,SHORT,10
26/11/2024,13:10,DOGE,SHORT,10
26/11/2024,19:10,BTC,LONG,20
26/11/2024,19:10,ETH,LONG,20
26/11/2024,19:10,ADA,LONG,20
26/11/2024,19:10,SUI,LONG,15
26/11/2024,19:10,TRX,SHORT,10
26/11/2024,22:10,BTC,LONG,20
26/11/2024,22:10,TAO,LONG,20
26/11/2024,22:10,STX,LONG,15
26/11/2024,22:10,SOL,LONG,10
26/11/2024,22:10,FTM,SHORT,10
26/11/2024,22:10,ICP,SHORT,10
27/11/2024,01:10,BTC,LONG,20
27/11/2024,01:10,UNI,LONG,20
27/11/2024,01:10,GRT,LONG,10
27/11/2024,01:10,ICP,SHORT,10
27/11/2024,01:10,STX,SHORT,10
27/11/2024,04:10,BTC,LONG,1
27/11/2024,04:10,ETH,LONG,1
27/11/2024,04:10,ETH,LONG,202
27/11/2024,04:10,AVAX,LONG,203
27/11/2024,04:10,SUI,LONG,203
27/11/2024,04:10,SUI,LONG,154
27/11/2024,04:10,UNI,SHORT,106
27/11/2024,07:10,ETH,LONG,1
27/11/2024,07:10,ADA,LONG,152
27/11/2024,07:10,TON,LONG,203
27/11/2024,07:10,SOL,LONG,104
27/11/2024,07:10,FTM,SHORT,105
27/11/2024,10:10,LTC,LONG,1
27/11/2024,10:10,TRX,LONG,1
27/11/2024,10:10,ADA,LONG,102
27/11/2024,10:10,GRT,LONG,153
27/11/2024,10:10,SUI,SHORT,105
27/11/2024,13:10,TON,LONG,10
27/11/2024,13:10,FTM,LONG,10
27/11/2024,13:10,BTC,SHORT,10
27/11/2024,13:10,ICP,SHORT,20
27/11/2024,13:10,AVAX,SHORT,10
27/11/2024,17:32,BTC,LONG,20
27/11/2024,17:32,ETH,LONG,20
27/11/2024,17:32,XRP,LONG,20
27/11/2024,17:32,UNI,LONG,20
27/11/2024,17:32,ADA,LONG,15
27/11/2024,17:32,DOGE,SHORT,10
27/11/2024,20:32,BTC,LONG,20
27/11/2024,20:32,ETH,LONG,20
27/11/2024,20:32,BNB,LONG,20
27/11/2024,20:32,TAO,LONG,15
27/11/2024,20:32,ADA,SHORT,10
27/11/2024,20:32,TON,SHORT,10
27/11/2024,23:32,DOGE,LONG,1
27/11/2024,23:32,BNB,LONG,1
27/11/2024,23:32,BTC,LONG,102
27/11/2024,23:32,GRT,LONG,103
27/11/2024,23:32,STX,LONG,204
27/11/2024,23:32,TAO,SHORT,105
28/11/2024,02:32,BNB,LONG,15
28/11/2024,02:32,ADA,LONG,15
28/11/2024,02:32,SUI,LONG,15
28/11/2024,02:32,UNI,LONG,15
28/11/2024,02:32,ETH,SHORT,10
28/11/2024,05:32,BTC,LONG,20
28/11/2024,05:32,ETH,LONG,20
28/11/2024,05:32,BNB,LONG,20
28/11/2024,05:32,SUI,SHORT,15
28/11/2024,05:32,ADA,SHORT,10
28/11/2024,05:32,DOGE,SHORT,10
28/11/2024,08:32,ETH,LONG,1
28/11/2024,08:32,UNI,LONG,1
28/11/2024,08:32,ADA,LONG,202
28/11/2024,08:32,LTC,LONG,153
28/11/2024,08:32,DOGE,LONG,104
28/11/2024,08:32,GRT,SHORT,105
28/11/2024,11:32,BTC,LONG,20
28/11/2024,11:32,SUI,LONG,20
28/11/2024,11:32,TON,SHORT,20
28/11/2024,11:32,FTM,LONG,10
28/11/2024,11:32,TRX,SHORT,15
28/11/2024,11:32,LTC,LONG,10
28/11/2024,17:32,TAO,LONG,15
28/11/2024,17:32,ICP,LONG,15
28/11/2024,17:32,GRT,LONG,15
28/11/2024,17:32,TRX,LONG,15
28/11/2024,17:32,DOGE,SHORT,15
28/11/2024,17:32,BNB,SHORT,10
28/11/2024,20:32,ADA,LONG,10
28/11/2024,20:32,ETH,LONG,10
28/11/2024,20:32,SOL,LONG,10
28/11/2024,20:32,GRT,LONG,20
28/11/2024,20:32,TON,SHORT,15
28/11/2024,20:32,BNB,SHORT,10
